positioning_time,quality,direction,Gps.speed,Gps.flag,Speed.speed,pulse,Speed.flag,Back,Brake+Back,COG,No fix,DR,3D,3D+DR,lat,lng,seq_no,status,satellite_num,pdop,altitude,ACC OFF,ACC ON
20190802T204453+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,7,3.8,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204454+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,8,3.1,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204455+0900,1,3,1.4,1,3.1,1,5,,,6,,,-50,,25.043641,121.523037,,2,8,3.1,50,,
,,,1.4,,3.1,1,1,,,6,,,,,,,,,,,,,
20190802T204456+0900,1,3,0,1,0,0,1,,,0,,,-50,,25.043644,121.523041,,2,9,2.3,50.2,,
,,,0,,0,0,4,,,0,,,,,,,,,,,,,
20190802T204457+0900,1,3,0,1,0,0,4,,,0,,,-50,,25.043644,121.523041,,2,8,2.3,50.2,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204458+0900,1,3,0,1,0,0,0,,,0,,,-50,,25.043644,121.523041,,2,9,2.3,50.2,,
,,,0,,3.7,0,4,,,0,,,,,,,,,,,,,
20190802T204459+0900,1,342,7.2,1,5.4,5,0,,,21,,,-50,,25.043662,121.523043,,2,8,3.1,49.9,,
,,,7.2,,5.4,5,0,,,21,,,,,,,,,,,,,
20190802T204500+0900,1,330,11.5,1,7.3,8,0,,,12,,,-50,,25.043674,121.52304,,2,9,2.3,49.2,,
,,,11.5,,8.9,8,0,,,12,,,,,,,,,,,,,
20190802T204501+0900,1,305,14.4,1,10,10,0,,,25,,,-50,,25.043695,121.523024,,2,10,4,48.7,,
,,,14.4,,12.1,10,0,,,25,,,,,,,,,,,,,
20190802T204502+0900,1,286,17.3,1,12.8,12,1,,,19,,,-50,,25.043708,121.522993,,2,10,2.4,48.2,,
,,,17.3,,11.7,12,1,,,19,,,,,,,,,,,,,
20190802T204503+0900,1,280,15.8,1,9.6,11,1,,,6,,,-50,,25.043712,121.522964,,2,9,2.3,48.2,,
,,,15.8,,8.6,11,1,,,6,,,,,,,,,,,,,
20190802T204504+0900,1,277,14.4,1,9.6,10,1,,,3,,,-50,,25.043716,121.522906,,2,8,2.4,48.2,,
,,,14.4,,9.6,10,1,,,3,,,,,,,,,,,,,
20190802T204505+0900,1,275,11.5,1,7.7,8,0,,,2,,,-50,,25.043717,121.522875,,2,7,2.5,48.4,,
,,,11.5,,7.7,8,0,,,2,,,,,,,,,,,,,
20190802T204506+0900,1,276,8.6,1,4.6,6,0,,,1,,,-50,,25.043718,121.522861,,2,6,3.2,48.4,,
,,,8.6,,4.6,6,0,,,1,,,,,,,,,,,,,
20190802T204507+0900,1,276,11.5,1,8.6,8,0,,,0,,,-50,,25.043719,121.522838,,2,7,2.7,48.2,,
,,,11.5,,8.6,8,0,,,0,,,,,,,,,,,,,
